,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
122,1.0,0.0,0.0,1.0,-2.0,-2.0,-1.0,0.0,1650479185707046.0
123,-2.0,1.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,1650479185707046.0
124,0.0,3.0,1.0,-2.0,-1.0,0.0,0.0,0.0,1650479185707886.0
125,1.0,-1.0,-2.0,1.0,-1.0,1.0,0.0,0.0,1650479185707886.0
126,-1.0,0.0,-6.0,-5.0,-2.0,-1.0,-1.0,0.0,1650479185729523.0
127,-1.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,1650479185729523.0
128,0.0,2.0,4.0,2.0,0.0,-1.0,1.0,0.0,1650479185730518.0
129,-2.0,-3.0,-2.0,-4.0,-2.0,-1.0,-1.0,0.0,1650479185730518.0
130,1.0,3.0,6.0,11.0,1.0,1.0,1.0,1.0,1650479185743155.0
131,-1.0,-3.0,-6.0,-7.0,0.0,0.0,-1.0,1.0,1650479185743155.0
132,-2.0,-3.0,5.0,2.0,-1.0,0.0,0.0,-2.0,1650479185758148.0
133,-1.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-2.0,1650479185758148.0
134,1.0,-1.0,-4.0,-6.0,-2.0,-1.0,0.0,-1.0,1650479185767150.0
135,-1.0,-1.0,2.0,1.0,1.0,0.0,-1.0,-2.0,1650479185767150.0
136,-2.0,1.0,-2.0,-3.0,-1.0,-2.0,0.0,-1.0,1650479185767994.0
137,0.0,-1.0,0.0,1.0,-2.0,-1.0,-1.0,-1.0,1650479185767994.0
138,-2.0,-2.0,0.0,2.0,1.0,-1.0,0.0,-2.0,1650479185789422.0
139,-1.0,2.0,-5.0,-1.0,-1.0,-1.0,1.0,-1.0,1650479185789422.0
140,-1.0,0.0,1.0,-4.0,0.0,0.0,-2.0,-1.0,1650479185791258.0
141,-2.0,0.0,2.0,2.0,2.0,-1.0,0.0,1.0,1650479185791258.0
142,-1.0,-3.0,-4.0,-3.0,-2.0,-1.0,-1.0,0.0,1650479185803541.0
143,0.0,3.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,1650479185803541.0
144,0.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,1650479185811842.0
145,-1.0,-2.0,-6.0,-5.0,-2.0,1.0,1.0,-2.0,1650479185811842.0
146,0.0,2.0,9.0,3.0,-1.0,-3.0,0.0,0.0,1650479185827012.0
147,-1.0,-3.0,-2.0,-2.0,-1.0,0.0,-2.0,0.0,1650479185827012.0
148,1.0,-1.0,-6.0,-3.0,0.0,0.0,-1.0,0.0,1650479185833260.0
149,1.0,1.0,2.0,3.0,-1.0,-2.0,-1.0,0.0,1650479185833260.0
150,-2.0,-2.0,-5.0,-4.0,1.0,2.0,0.0,0.0,1650479185849821.0
151,0.0,-4.0,3.0,0.0,-1.0,0.0,0.0,1.0,1650479185849821.0
152,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1650479185850820.0
153,-1.0,1.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,1650479185850820.0
154,-1.0,-2.0,-10.0,-6.0,-3.0,-1.0,-1.0,1.0,1650479185863006.0
155,0.0,1.0,9.0,8.0,2.0,0.0,2.0,-3.0,1650479185863006.0
156,0.0,-3.0,-4.0,-2.0,0.0,0.0,-1.0,-2.0,1650479185872365.0
157,-1.0,0.0,4.0,4.0,-2.0,-1.0,0.0,0.0,1650479185872365.0
158,-1.0,-1.0,1.0,-2.0,2.0,1.0,-1.0,0.0,1650479185887134.0
159,-1.0,-2.0,-5.0,-2.0,-1.0,0.0,0.0,2.0,1650479185887134.0
160,0.0,-1.0,-3.0,0.0,1.0,1.0,1.0,1.0,1650479185887980.0
161,-1.0,-1.0,3.0,2.0,1.0,0.0,-1.0,0.0,1650479185887980.0
162,-1.0,-4.0,2.0,-1.0,0.0,0.0,0.0,0.0,1650479185909568.0
163,3.0,-2.0,2.0,3.0,1.0,0.0,0.0,0.0,1650479185909568.0
164,-3.0,-1.0,-6.0,-5.0,-2.0,-1.0,-2.0,-2.0,1650479185910567.0
165,-2.0,1.0,-3.0,-1.0,-2.0,-2.0,-1.0,-1.0,1650479185910567.0
166,0.0,1.0,-5.0,-1.0,-1.0,1.0,-1.0,1.0,1650479185932333.0
167,0.0,-1.0,-2.0,-2.0,-1.0,-2.0,-1.0,-1.0,1650479185932333.0
168,-1.0,0.0,10.0,7.0,-3.0,-3.0,-2.0,-1.0,1650479185933333.0
169,0.0,-1.0,-4.0,-5.0,-2.0,0.0,-3.0,0.0,1650479185933333.0
170,1.0,1.0,0.0,0.0,-1.0,-2.0,-2.0,0.0,1650479185946896.0
171,-1.0,-3.0,-15.0,-14.0,-2.0,-1.0,0.0,-1.0,1650479185946896.0
172,2.0,1.0,2.0,2.0,-1.0,-1.0,0.0,-1.0,1650479185947896.0
173,-1.0,1.0,4.0,2.0,0.0,-1.0,0.0,-1.0,1650479185947896.0
174,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-1.0,1650479185969001.0
175,0.0,-2.0,-3.0,4.0,-1.0,0.0,-3.0,-1.0,1650479185969001.0
176,1.0,1.0,-5.0,-8.0,-2.0,-2.0,-1.0,0.0,1650479185971029.0
177,2.0,0.0,2.0,4.0,0.0,-1.0,0.0,-1.0,1650479185971029.0
178,-3.0,-3.0,-2.0,2.0,1.0,-1.0,0.0,-1.0,1650479185992394.0
179,-1.0,0.0,-3.0,-2.0,-2.0,0.0,0.0,-1.0,1650479185992394.0
180,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,1650479185993239.0
181,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1650479185993239.0
182,-2.0,-3.0,1.0,5.0,-2.0,1.0,-1.0,-2.0,1650479186007131.0
183,-1.0,0.0,3.0,-3.0,-1.0,1.0,-1.0,0.0,1650479186007131.0
184,2.0,4.0,2.0,3.0,-1.0,-1.0,2.0,0.0,1650479186007981.0
185,-1.0,0.0,-1.0,-2.0,2.0,1.0,0.0,-1.0,1650479186007981.0
186,-1.0,0.0,-5.0,-5.0,2.0,1.0,0.0,0.0,1650479186029285.0
187,-2.0,-1.0,5.0,3.0,1.0,0.0,0.0,0.0,1650479186029285.0
188,0.0,-2.0,-6.0,-7.0,-1.0,0.0,0.0,-2.0,1650479186030320.0
189,-1.0,0.0,7.0,10.0,2.0,0.0,-1.0,-2.0,1650479186030320.0
